"Date","Close"
"2013-12-31","124.91"
"2013-12-30","124.23"
"2013-12-27","125.23"
"2013-12-26","124.81"
"2013-12-24","123.51"
"2013-12-23","122.80"
"2013-12-20","122.78"
"2013-12-19","123.22"
"2013-12-18","121.60"
"2013-12-17","118.74"
"2013-12-16","120.22"
"2013-12-13","119.90"
"2013-12-12","120.99"
"2013-12-11","122.10"
"2013-12-10","123.66"
"2013-12-09","123.34"
"2013-12-06","122.29"
"2013-12-05","121.10"
"2013-12-04","121.77"
"2013-12-03","122.52"
"2013-12-02","122.34"
"2013-11-29","122.44"
"2013-11-27","122.42"
"2013-11-26","122.78"
"2013-11-25","123.74"
"2013-11-22","124.03"
"2013-11-21","123.46"
"2013-11-20","122.00"
"2013-11-19","122.06"
"2013-11-18","120.56"
"2013-11-15","120.06"
"2013-11-14","119.56"
"2013-11-13","120.09"
"2013-11-12","120.00"
"2013-11-11","121.08"
"2013-11-08","121.19"
"2013-11-07","119.91"
"2013-11-06","121.14"
"2013-11-05","118.45"
"2013-11-04","118.10"
"2013-11-01","118.01"
"2013-10-31","119.96"
"2013-10-30","120.30"
"2013-10-29","121.50"
"2013-10-28","120.91"
"2013-10-25","120.59"
"2013-10-24","120.56"
"2013-10-23","120.13"
"2013-10-22","120.64"
"2013-10-21","119.82"
"2013-10-18","119.65"
"2013-10-17","119.52"
"2013-10-16","119.16"
"2013-10-15","118.15"
"2013-10-14","118.58"
"2013-10-11","117.67"
"2013-10-10","116.38"
"2013-10-09","116.13"
"2013-10-08","116.73"
"2013-10-07","117.87"
"2013-10-04","118.13"
"2013-10-03","118.25"
"2013-10-02","120.83"
"2013-10-01","121.32"
"2013-09-30","121.50"
"2013-09-27","122.64"
"2013-09-26","123.49"
"2013-09-25","124.07"
"2013-09-24","124.49"
"2013-09-23","125.52"
"2013-09-20","124.92"
"2013-09-19","125.44"
"2013-09-18","125.82"
"2013-09-17","124.34"
"2013-09-16","124.08"
"2013-09-13","124.14"
"2013-09-12","123.89"
"2013-09-11","123.92"
"2013-09-10","123.01"
"2013-09-09","122.22"
"2013-09-06","121.21"
"2013-09-05","121.37"
"2013-09-04","120.86"
"2013-09-03","120.55"
"2013-08-30","120.43"
"2013-08-29","120.37"
"2013-08-28","121.81"
"2013-08-27","118.81"
"2013-08-26","118.84"
"2013-08-23","119.53"
"2013-08-22","118.29"
"2013-08-21","117.70"
"2013-08-20","118.29"
"2013-08-19","118.66"
"2013-08-16","119.88"
"2013-08-15","120.25"
"2013-08-14","122.05"
"2013-08-13","122.50"
"2013-08-12","121.80"
"2013-08-09","122.50"
"2013-08-08","123.07"
"2013-08-07","123.33"
"2013-08-06","123.14"
"2013-08-05","123.99"
"2013-08-02","124.95"
"2013-08-01","126.44"
"2013-07-31","125.89"
